Stop_ID,Stop_Name,Latitude,Longitude,Route_Number,Address,Additional_Info
11774744252,Nhà khách Phía Nam,10.8327917,106.6719765,Unknown,,platform
11774744253,Du Miên Garden,10.8320145,106.6741154,Unknown,,platform
11774744254,Ngã tư Nguyễn Oanh,10.8310764,106.6767713,Unknown,,platform
11774744255,Cây xăng Petrolimex - Phan Văn Trị,10.8302833,106.6790424,Unknown,,platform
11774744256,CoopMart Phan Văn Trị,10.8295004,106.6814303,Unknown,,platform
11774744257,PCCC Quận Gò Vấp,10.8282689,106.6852083,Unknown,,platform
11774744258,Vincom Plaza Phan Văn Trị,10.8275224,106.6874251,Unknown,,platform
11774744259,Bãi hậu cần số 1,10.8235977,106.6920944,Unknown,,platform
11787220774,Lê Lai,10.8174167,106.6854691,Unknown,,platform
11787220775,Phạm Văn Đồng,10.8185798,106.688051,Unknown,,platform
11787220776,Nút giao Lê Quang Định,10.8194763,106.6907499,Unknown,,platform
11789253338,Chùa Phổ Minh,10.8204822,106.6932432,Unknown,,platform
11789253339,Nút giao Lê Quang Định,10.819403,106.6893271,Unknown,,platform
11789253340,Lê Lợi,10.8175831,106.685244,Unknown,,platform
11799114427,Xóm Cháy,10.8218589,106.6787945,Unknown,,platform
11861142573,Ngã tư Kênh Nhật Bản - Hồng Hà,10.8136509,106.6741609,Unknown,,platform
11861142574,Vòng xoay Nguyễn Thái Sơn,10.8140201,106.6776269,Unknown,,platform
11861142575,Chợ Cây Trâm,10.8386181,106.6578116,Unknown,,platform
11861142576,Ngã ba Cây Trâm,10.8435279,106.6571623,Unknown,,platform
11861142580,Ngã ba Lê Đức Thọ,10.8540512,106.6559574,Unknown,,platform
11861142581,Nhà hàng Tư Trì,10.8487504,106.6566743,Unknown,,platform
11861142582,Câu lạc bộ Tennis - 329 Lê Văn Thọ,10.8459135,106.6569458,Unknown,,platform
11861142583,Ngã ba Cây Trâm,10.8431738,106.6570853,Unknown,,platform
11861142584,Chợ Cây Trâm,10.83804,106.6578611,Unknown,,platform
11861142585,Chợ Tân Sơn Nhất,10.8146535,106.6778013,Unknown,,platform
11868138115,Ngã ba Phạm Huy Thông,10.8338233,106.6847779,Unknown,,platform
11868138118,UBND Phường 17,10.8386051,106.6792935,Unknown,,platform
11868138119,Đài liệt sĩ,10.8386326,106.6763147,Unknown,,platform
11868138120,Ngã sáu Gò Vấp,10.8386444,106.6741676,Unknown,,platform
11868138121,Lotte Mart,10.8386837,106.6707729,Unknown,,platform
11868138122,Điện lực Gò Vấp,10.8387182,106.66667,Unknown,,platform
11868138137,Lotte Mart,10.8385223,106.6711251,Unknown,,platform
11868138138,Ngã sáu Gò Vấp,10.8384638,106.6744936,Unknown,,platform
11868138141,Trường Văn thư lưu trữ,10.8373157,106.6806436,Unknown,,platform
11868138142,XP Garden,10.8361415,106.6834944,Unknown,,platform
11868138143,Ngã ba Phạm Huy Thông,10.8338835,106.684658,Unknown,,platform
